#separator:tab
#html:false
действие	action		/ˈækʃn/	[uncountable]  the process of doing something in order to make something happen or to deal with a situation [countable] a thing that somebody does	И каждое действие, которое совершает игрок, включает в себя определенный тип физического действия.	И каждое [....], которое совершает игрок, включает в себя определенный тип физического [....].	Divers were close at hand, ready to go into action if the stunt went wrong.What is the best course of action in the circumstances?She began to explain her plan of action to the group	Divers were close at hand, ready to go into [...] if the stunt went wrong. She began to explain her plan of [...] to the group	measure ▪ step ▪ act ▪ move	actions speak louder than words ​(saying) what a person actually does means more than what they say they will do	
над	above	preposition	/əˈbʌv/	at or to a higher place or position than something/somebody more than something; greater in number, level or age than	Теперь представьте себе, что вы возноситесь вверх и поднимаетесь над всей Вселенной. Все, что выше этой цифры, относится к демисезонным вещам.	Теперь представьте себе, что вы возноситесь вверх и поднимаетесь [...] всей Вселенной.	Now imagine going up above the Universe. Anything above these numbers is hypertension.	Now imagine going up [...] the Universe. Anything [...] these numbers is hypertension.		above all ​most important of all; especiallyAbove all, keep in touch.     above yourself ​(disapproving) having too high an opinion of yourself	above / overAbove and over can both be used to describe a position higher than something:They built a new room above/​over the garage. When you are talking about movement from one side of something to the other, you can only use over:They jumped over the stream. Over can also mean ‘covering’:He put a blanket over the sleeping child.Above and over can also mean ‘more than’. Above is used in relation to a minimum level or a fixed point:2 000 feet above sea levelTemperatures will not rise above zero tonight. Over is used with numbers, ages, money and time:He’s over 50.It costs over £100.We waited over 2 hours.
взрослый	adult	noun	/əˈdʌlt/	a fully grown person who is legally responsible for their actions	По меньшей мере один взрослый должен принимать участие в курсе.	По меньшей мере один [...] должен принимать участие в курсе.	Children must be accompanied by an adult.I simply can't believe that responsible adults allowed a child to wander the streets.Why can't you two act like civilized adults?The obesity rate among adults has actually increased.	Children must be accompanied by an [..].At least one [...] must be present.	grown-up		
совет	advice	noun	/ədˈvaɪs/	an opinion or a suggestion about what somebody should do in a particular situation	Все, что мне нужно, - это совет по инвестированию, а не совет личного характера».	Все, что мне нужно, - это [...] по инвестированию, а не [...] личного характера».	Let me give you a piece of advice.A word of advice. Don't wear that dress.Take my advice. Don't do it.Follow your doctor's advice.	John would welcome any [...] or clues. Definitely ask their [...] and opinions.			Advice is uncountable. we say a piece of advice (not ‘an advice’) and some advice (not ‘some advices’).
боюсь	afraid	adjective	/əˈfreɪd/	feeling fear; frightened because you think that you might be hurt or suffer worried about what might happen	Я боюсь, что вслед за ним ты наживешь себе неприятностей.	Я [...], что вслед за ним ты наживешь себе неприятностей.	I'm afraid you'd follow him into trouble. He had always been afraid of death.They know I'm afraid of heights.Are you afraid of spiders?She was afraid of upsetting her parents	Are you [...] of spiders? They know I'm [...] of heights. She was [...] of upsetting her parents			
потрясающий	amazing	adjective	/əˈmeɪzɪŋ/	very surprising, especially in a way that you like or admire	Ана, у тебя были потрясающие отзывы, когда мы выступали в даунтауне.	Ана, у тебя были [....] отзывы, когда мы выступали в даунтауне.	Ana, you got amazing reviews downtown. It's amazing how quickly people adapt. He makes the most amazing cakes	Ana, you got [...] reviews downtown. It's [...] how quickly people adapt. He makes the most [....] cakes	fantastic astonishing, astounding, incredible		
регион, местность, участок	area	noun	/ˈeəriə/	[countable]  part of a place, town, etc., or a region of a country or the world	К ним относятся и площадь съемки, и район проведения работ.	К ним относятся и ----- съемки, и ----- проведения работ.	Ted has lived in this area all his life.People who live in remote areas of the country may not have access to electricity.A lot of new people have moved into the area recently.John is the London area manager.	Ted has lived in this [..] all his life A lot of new people have moved into the [...] recently.	place		
рука	arm	noun	/ɑːrm/	part of body	Ведь описываешь то, что чувствует твоя рука.	Ведь описываешь то, что чувствует твоя ----.	She touched him gently on the arm. Vincent folded his arms across his chest and turned to walk away.He has a tattoo on his upper right arm.	She touched him gently on the -----. Vincent folded his ------ across his chest and turned to walk away.		(with) arms akimbo ​with your hands on your hips and your elbows pointing away from your bodyShe stood looking at him with arms akimbo.             as long as your arm ​(informal) very longThere's a list of repairs as long as your arm.     a babe in arms ​(old-fashioned) a very small baby that cannot yet walk     bear arms ​(old use) to be a soldier; to fight     chance your arm ​(British English, informal) to take a risk although you will probably failTopics Difficulty and failurec2     cost/pay an arm and a leg ​(informal) to cost/pay a lot of money	
статья	article	noun	/ˈɑːtɪkl/	a piece of writing about a particular subject in a newspaper or magazine, on a website, etc.	В комментарии к этой статье поясняется, что статья 57 представляет собой исключающую оговорку	В комментарии к этой ------- поясняется, что ------ 57 представляет собой исключающую оговорку	Her tweet follows an article posted online by the ‘Huffington Post’.	Her tweet follows an ----- posted online by the ‘Huffington Post’.			
далеко	away	adverb	/əˈweɪ/	to or at a distance from somebody/something in space or time	Прежде всего, держите детей и домашних животных подальше от рабочей зоны.	Прежде всего, держите детей и домашних животных ------ от рабочей зоны.	The beach is a mile away.Christmas is still months away.	The beach is a mile -----.Christmas is still months -----.		away with… ​(literary) used to say that you would like to be rid of somebody/somethingAway with all these rules and regulations!             blow/clear the cobwebs away ​to help somebody have a fresh, lively state of mind againA brisk walk should blow the cobwebs away.     dance the night away ​to dance for the whole evening or night     far and away ​(followed by comparative or superlative adjectives) by a very great amountShe's far and away the best player.     right away/off ​immediately; without delayI want it sent right away.I told him right off what I thought of him.     straight away ​immediately; without delay synonym at onceI'll do it straight away.	
группа	band	noun	/bænd/	[countable + singular or plural verb]  a small group of musicians who play popular music together, often with a singer or singers	Он не принимал хороших решений для группы, и группа решила идти дальше без него».	Он не принимал хороших решений для ------, и ----- решила идти дальше без него».	He plays drums in a band that he formed with some friends.The band is/are playing a gig in Liverpool tonight.She's a singer with a band.	The ---- is/are playing a gig in Liverpool tonight.She's a singer with a -----.			
ломать	break	verb	/breɪk/	[intransitive, transitive]  to be damaged and separated into two or more parts, as a result of force; to damage something in this way	Все окна разбились от силы взрыва Мои часы сломались	Все окна ------- от силы взрыва Мои часы ------	All the windows broke with the force of the blast.The bag broke under the weight of the bottles inside it.My watch has broken	All the windows ------- with the force of the blast.The bag ------ under the weight of the bottles inside it.My watch has ---------			
перерыв, перемена	break	noun	/breɪk/	[countable]  a short period of time when you stop what you are doing and rest, eat, etc. [uncountable]  a period of time between lessons at school	Мы как раз обсуждали это во время перерыва.	Мы как раз обсуждали это во время ---- .	Come and see me at break. She was on her lunch break. a coffee/tea break Let's take a break.	Come and see me at ----. She was on her lunch ---. a coffee/tea --- Let's take a -----.	rest ▪ respite ▪ time out ▪ breathing space	give somebody a break ​(informal) to give somebody a chance; to not judge somebody too severelyGive the lad a break—it's only his second day on the job.	
